id(勿改),中文名(可修改),英文名,部位,器械,状态,说明
0128,战绳,battling ropes,肩部,战绳,review,光秃器械名，缺动作
0577,器械胸推（2）,lever chest press,胸部,器械,review,含序号，可能可消歧
0656,健身球俯卧撑（2）,push-up (on stability ball),胸部,健身球,review,含序号，可能可消歧
0727,哑铃单腿提踵（2）,single leg calf raise (on a dumbbell),小腿,哑铃,review,含序号，可能可消歧
0857,健腹轮,wheel rollerout,腰腹,健腹轮,review,光秃器械名，缺动作
1295,哑铃仰卧上拉（健身球）（2）,dumbbell pullover on exercise ball,胸部,哑铃,review,含序号，可能可消歧
1307,波速球俯卧撑（2）,push up on bosu ball,胸部,波速球,review,含序号，可能可消歧
1355,单臂靠墙,one arm against wall,背部,徒手,review,原名 4 词译名仅 4 字，可能漏译
1369,弹力带双腿提踵（弹力带下方双腿）（第2式）,band two legs calf raise - (band under both legs) v. 2,小腿,弹力带,review,译名过长
1371,杠铃坐姿提踵（2）,barbell seated calf raise,小腿,杠铃,review,含序号，可能可消歧
1373,站姿提踵,bodyweight standing calf raise,小腿,徒手,review,原名 4 词译名仅 4 字，可能漏译
1394,史密斯机反向提踵（2）,smith reverse calf raises,小腿,史密斯机,review,含序号，可能可消歧
1459,哑铃罗马尼亚硬拉（2）,dumbbell romanian deadlift,大腿,哑铃,review,含序号，可能可消歧
1628,曲杆蜘蛛弯举（2）,ez barbell spider curl,上臂,曲杆,review,含序号，可能可消歧
1649,哑铃交替肱二头肌弯举（腿抬高·健身球）,dumbbell alternating bicep curl with leg raised on exercise ball,上臂,哑铃,review,译名过长
1650,哑铃交替坐姿肱二头肌弯举（健身球）,dumbbell alternating seated bicep curl on exercise ball,上臂,哑铃,review,译名过长
1651,哑铃肱二头肌弯举弓步（保龄球动作）,dumbbell bicep curl lunge with bowling motion,上臂,哑铃,review,译名过长
1652,哑铃肱二头肌弯举（健身球·腿抬高）,dumbbell bicep curl on exercise ball with leg raised,上臂,哑铃,review,译名过长
1668,哑铃单臂坐姿肱二头肌弯举（健身球）,dumbbell one arm seated bicep curl on exercise ball,上臂,哑铃,review,译名过长
